"title";"description";"skillType";"uri"
"compute results of games";"Compute amounts of players' money wins or losses; scan winning tickets to calculate the amount of money won.";"skill";"http://data.europa.eu/esco/skill/68e58c57-7a58-483f-a80c-fad4bace2b04"
"viticulture";"Understanding of vine growth and principles of viticulture.";"knowledge";"http://data.europa.eu/esco/skill/3c9fc332-97e4-409a-8c32-e81fa552e882"
"prepare for auction";"Identify and set up location for auction; prepare and display auctioned items; prepare the auction room by setting seats and microphones.";"skill";"http://data.europa.eu/esco/skill/74340524-8a0c-4a04-b4a2-a886d22109a3"
"teach computer science";"Instruct students in the theory and practice of computer science, more specifically in the development of software systems, programming languages, artificial intelligence, and software security.";"skill";"http://data.europa.eu/esco/skill/b820c9de-4d00-4e79-9af9-33f26044ff42"
"software components suppliers";"The suppliers who can deliver the required software components.";"knowledge";"http://data.europa.eu/esco/skill/e6b8f934-7f35-4dc6-9a64-f6c43acdc00b"
"create an airport master plan";"Compose a master plan for the long term development of an airport; draw graphic representations of current and future airport features.";"skill";"http://data.europa.eu/esco/skill/8d468afb-8066-4274-8bd6-2b11bd67088f"
"compression moulding machine parts";"Parts of the machine that apply pressure on the usually preheated moudling material to force it into contact with the mould area such as the upper movable mould part, the lower fixed mould part and the ejector pin.";"knowledge";"http://data.europa.eu/esco/skill/6ceecfd6-3256-40f6-8924-7c68011fc240"
"tend mouldmaking machines";"Tend and monitor machines designed for mouldmaking processes, such as mixers, belt conveyors, air conveyors, grabs, and others.";"skill";"http://data.europa.eu/esco/skill/3ace4b58-7864-4a2c-b5df-c21a52fc2ab2"
"legal requirements related to mortuary services";"The legal obligations and requirements for hospital and coroner post-mortem examinations. The requirements for death certifications and related documentation and for organ removal.";"knowledge";"http://data.europa.eu/esco/skill/a1df411f-0ef7-40f4-a53f-453c55b77b9c"
"tend upsetting machine";"Tend an upsetting machine such as a crank press, designed for forming hot or cold metal by use of a high energy force and split dies, monitor and operate it, according to regulations.";"skill";"http://data.europa.eu/esco/skill/f1d87808-9a9d-4d21-864c-41a73a98cda2"
"coordinate the procurement of organs for transplantation";"Manage all the required services and administrative tasks required to handle and obtain cells, tissues or organs for transplantation purposes.";"skill";"http://data.europa.eu/esco/skill/ba036844-c989-4365-b79d-a5fcfd26c9db"
"engineering processes";"The systematic approach to the development and maintenance of engineering systems.";"knowledge";"http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919"
"ICT security legislation";"The set of legislative rules that safeguards information technology, ICT networks and computer systems and legal consequences which result from their misuse. Regulated measures include firewalls, intrusion detection, anti-virus software and encryption.";"knowledge";"http://data.europa.eu/esco/skill/7814e88f-c133-4c3b-b27f-857afa145d42"
"service rooms";"Offer room service and, where appropriate, service public areas, including cleaning surfaces, bathrooms, replacing linen and towels and restocking guest items.";"skill";"http://data.europa.eu/esco/skill/50e2757f-ba69-46ce-98a4-a1e95051cfbe"
"perform bone marrow transplant";"Perform cord blood transplant and manage its side effects in order to replace damaged or destroyed bone marrow with healthy bone marrow stem cells for patients affected by cancers, such as leukaemia, lymphoma, aplastic anaemia or severe immunodeficiency syndromes.";"skill";"http://data.europa.eu/esco/skill/1a2cca81-480c-43ad-b183-923827f2fc0b"
"use software libraries";"Utilise collections of codes and software packages which capture frequently used routines to help programmers simplify their work.";"skill";"http://data.europa.eu/esco/skill/8b94aa1e-89c9-459d-b3b4-1dfab8dec2df"
"pave asphalt layers";"Use different grades of asphalt to lay the asphalt layers of a road. Lay an asphalt base layer with low bitumen content to provide a stable surface, a binder layer with intermediate bitumen content, and a surface layer containing the highest grade material with the highest bitumen content to withstand the stresses of road transport. Tend a paver to lay the asphalt or use different techniques and instruments.";"skill";"http://data.europa.eu/esco/skill/e7e19a59-a780-457b-a027-e901a5cf1ea3"
"install organs";"Assemble, install and tune the organ according to the accoustical characteristics of its final location.";"skill";"http://data.europa.eu/esco/skill/7d6fd2fd-d26e-4613-800e-029253f86043"
"assist in kidney transplant";"Manage patient care before and after the transplant of kidneys, striving to maximise the likelihood of a successful outcome.";"skill";"http://data.europa.eu/esco/skill/a374d988-ef19-47ce-90c3-9be2b6330a73"
"create animal records";"Create animal records according to industry relevant information and using appropriate record keeping systems.";"skill";"http://data.europa.eu/esco/skill/80c4d5a3-fe4a-4f6f-9bb0-1f6605f98d43"
"tend corn starch extraction machines";"Operate corn starch extraction machines, following adequate procedure, and gather the extracted elements and glucose from the process.";"skill";"http://data.europa.eu/esco/skill/2753213c-fcc5-45cc-adda-d66dd63c1aa1"
"operate cash point";"Count the money; balance cash drawer at the end of the shift; receive payments and process payment information; use scanning equipment.";"skill";"http://data.europa.eu/esco/skill/279101c1-e325-4349-bf58-401b6c8ff208"
"types of steam engines";"The different types of heat engines which use steam as working fluid and are used to produce motion, such as steam turbines and stationary steam engines, and their various components.";"knowledge";"http://data.europa.eu/esco/skill/ad90e34e-9079-40d5-bbda-7fc291f86a20"
"sporting events";"Possess an understanding of different sporting events and conditions that can affect a result.";"knowledge";"http://data.europa.eu/esco/skill/bd0e1723-ecd4-418a-9e76-b2539b75e660"
"manufacture man-made fibres";"Perform the operation, monitoring and maintenance of machines and processes to manufacture man-made fibers, ensuring that the product meets the required specifications, keeping efficiency and productivity at high levels.";"skill";"http://data.europa.eu/esco/skill/350d5fc0-67d4-4b75-8d28-85b325cf23fd"
"have computer literacy";"Utilise computers, IT equipment and modern day technology in an efficient way.";"skill";"http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60"
"specify landscape design components";"Create design components and materials which are appropriate to site, purpose and expected usage. Recommend plants and materials suitable to the scheme and within budget.";"skill";"http://data.europa.eu/esco/skill/68e8e227-b843-4f2b-8572-9cbe63aada3a"
"forecast economic trends";"Gather and analyse economic data in order to predict economic trends and events.";"skill";"http://data.europa.eu/esco/skill/f2a34d6b-131a-4b8f-a110-898b9c91d18f"
"play musical instruments";"Manipulate purpose-built or improvised instruments to produce musical sounds.";"skill";"http://data.europa.eu/esco/skill/8f8a8803-dc72-4488-9991-7c7d373e01fa"
"riveting machine types";"The various types of machines used for riveting purposes, their qualities and applications, such as the impact riveting machine, radial riveting machine, orbital riveting machine, rollerform riveting machine, and others.";"knowledge";"http://data.europa.eu/esco/skill/25a11048-dc43-4696-8a71-2428233d68b6"
"develop financial products";"Take into account the performed financial market research and the organisation's objectives in order to develop and oversee the implementation, promotion, and lifecycle of financial products, such as insurance, mutual funds, bank accounts, stocks, and bonds.";"skill";"http://data.europa.eu/esco/skill/cdbb225c-d69d-4442-8cdc-818b1fdda074"
"conduct ecological surveys";"Conduct field surveys to collect information about the numbers and distribution of organisms.";"skill";"http://data.europa.eu/esco/skill/aeb400b6-d38c-45cc-9252-3c6983c614bb"
"inspect industrial equipment";"Inspect equipment used during industrial activities such as manufacturing or construction equipment in order to ensure that the equipment complies with health, safety, and environmental legislation.";"skill";"http://data.europa.eu/esco/skill/94747ff4-603d-47d4-9780-bf53be41e190"
"perform safety inspections";"Inspect the park or part of the park. Note and report problems like blocked trails and risks like overflowing rivers.";"skill";"http://data.europa.eu/esco/skill/a983df1f-7192-4ba4-9b75-944b9614ed89"
"assist with emergencies";"Take immediate action when an accident or medical emergency happens on-board. Identify the injuries and alert medical emergency staff. Seek to prevent further harm.";"skill";"http://data.europa.eu/esco/skill/17a3dd28-5d74-48de-b0ad-b1f7ca3c5d33"
"types of cooktops";"Different types of cooking surface, such as gas stoves, induction cooktops and ceramic cooktops. Functional and aesthetic properties of each, their advantages and disadvantages, and price points.";"knowledge";"http://data.europa.eu/esco/skill/49a806f0-62a4-4af0-a92e-0654528678a0"
"implement front-end website design";"Develop website layout and enhance user experience based on provided design concepts.";"skill";"http://data.europa.eu/esco/skill/c4b1f326-224a-420a-b8b3-814a8f13b6cb"
"rivet types";"The various types of rivets used in manufacturing, such as solid head rivets, blind rivets, drive rivets, semi-tubular rivets, oscar rivets, flush rivets, and others.";"knowledge";"http://data.europa.eu/esco/skill/d3d9b3ab-9dc8-415b-b450-f3ecfbef684a"
"conduct research on fauna";"Collect and analyse data about animal life in order to discover the basic aspects such as origin, anatomy, and function.";"skill";"http://data.europa.eu/esco/skill/eecbbdd5-5c07-41a4-9486-c0373de7fbab"
"analyse economic trends";"Analyse developments in national or international trade, business relations, banking, and developments in public finance and how these factors interact with one another in a given economic context.";"skill";"http://data.europa.eu/esco/skill/5f302d63-048e-451c-b150-97c124a5a26b"
